Name,Country,Current_rapid_rating,Highest_rapid_rating,Rapid_win,Rapid_draw,Rapid_loss,Current_blitz_rating,Highest_blitz_rating,Blitz_win,Blitz_draw,Blitz_loss
"Gelashvili, Tamaz",United States,,,,,,,,,,
"Shimanov, Aleksandr",United States,2527.0,2801.0,3.0,2.0,3.0,3014.0,3023.0,3935.0,780.0,2759.0
"Sargissian, Gabriel",Armenia,2468.0,2920.0,15.0,11.0,8.0,2914.0,2914.0,397.0,147.0,277.0
"Predojevic, Borki",Bosnia-Herzegovina,2564.0,2630.0,11.0,1.0,2.0,2917.0,2917.0,380.0,78.0,165.0
"Kacheishvili, Giorgi",United States,2697.0,,0.0,0.0,1.0,,,,,
"Zhigalko, Sergei",International,,,,,,2882.0,3031.0,2965.0,547.0,1350.0
"Vorontsov, Pavel",United States,2302.0,2465.0,4.0,3.0,4.0,2633.0,2855.0,311.0,68.0,232.0
"Illingworth, Max",Australia,2612.0,2877.0,11.0,6.0,5.0,2875.0,2956.0,1827.0,217.0,777.0
"Polgar, Judit",Hungary,,,,,,2718.0,2772.0,10.0,2.0,4.0
"Oleksiyenko, Mykhaylo",Ukraine,2223.0,2300.0,26.0,1.0,1.0,2667.0,2795.0,445.0,75.0,244.0
"Howell, David",England,2735.0,2906.0,30.0,9.0,5.0,3019.0,3046.0,3283.0,528.0,1009.0
"Mamedov, Rauf",Azerbaijan,2673.0,2970.0,9.0,1.0,3.0,3198.0,3198.0,1656.0,340.0,948.0
"Oparin, Grigoriy",United States,2640.0,2681.0,181.0,138.0,96.0,2977.0,3046.0,3866.0,953.0,1696.0
"Quesada, Yuniesky",United States,2686.0,2781.0,1.0,0.0,0.0,,,,,
"Cheparinov, Ivan",Bulgaria,2651.0,2749.0,6.0,4.0,4.0,2760.0,2806.0,53.0,11.0,23.0
"Cheparinov, Ivan",Bulgaria,2496.0,2668.0,2.0,2.0,1.0,2904.0,2908.0,117.0,41.0,50.0
"Sarana, Aleksei",Serbia,2675.0,2977.0,176.0,104.0,88.0,3056.0,3135.0,10345.0,1795.0,5850.0
"Steingrimsson, Hedinn",Iceland,,,,,,2604.0,2678.0,76.0,13.0,43.0
"Jakovenko, Dmitry",Russia,2612.0,2938.0,30.0,2.0,4.0,2256.0,2648.0,25.0,4.0,7.0
"Svidler, Peter",Russia,2654.0,2800.0,22.0,17.0,13.0,2963.0,3079.0,328.0,103.0,101.0
"Foreest, Jorden van",Netherlands,2688.0,2700.0,47.0,31.0,52.0,2961.0,3078.0,4991.0,989.0,4063.0
"Safarli, Eltaj",Azerbaijan,,,,,,2855.0,2866.0,65.0,20.0,18.0
"Shulman, Yury",United States,,,,,,2337.0,2524.0,3.0,6.0,16.0
"Nyzhnyk, Illia",United States,2590.0,2782.0,25.0,9.0,7.0,2874.0,2991.0,815.0,103.0,178.0
"Ivanchuk, Vasyl",Ukraine,2529.0,2704.0,12.0,17.0,16.0,2911.0,3015.0,67.0,11.0,25.0
"Jones, Gawain",United Kingdom,2552.0,2763.0,29.0,19.0,17.0,2918.0,2957.0,1221.0,291.0,569.0
"McShane, Luke",England,2575.0,2736.0,6.0,5.0,3.0,2746.0,2755.0,40.0,2.0,9.0
"Navara, David",Czech Republic,2683.0,2943.0,79.0,26.0,20.0,2861.0,3009.0,623.0,130.0,299.0
"Tabatabaei, Amin",Iran,2740.0,2752.0,109.0,89.0,62.0,3037.0,3061.0,4083.0,981.0,3986.0
"Anonymous, Dean",International,2683.0,2859.0,83.0,19.0,10.0,2954.0,3002.0,558.0,195.0,288.0
"Short, Nigel",United Kingdom,,,,,,2585.0,2630.0,51.0,5.0,19.0
"Sjugirov, Sanan",Russia,2624.0,2894.0,65.0,40.0,57.0,2949.0,3011.0,4934.0,1106.0,2837.0
"Narayanan, S.L.",India,2554.0,2684.0,22.0,26.0,21.0,3043.0,3055.0,6522.0,1516.0,4504.0
"Shankland, Sam",United States,2673.0,2807.0,1.0,0.0,0.0,,,,,
"Negi, Parimarjan",India,1962.0,2656.0,1.0,2.0,0.0,2532.0,2582.0,34.0,9.0,23.0
"Rakhmanov, Aleksandr",International,2615.0,2615.0,60.0,21.0,38.0,2853.0,2916.0,907.0,184.0,395.0
"Donchenko, Alexander",Germany,2624.0,2789.0,66.0,15.0,29.0,2862.0,2928.0,2186.0,415.0,1120.0
"Guseinov, Gadir",Azerbaijan,2533.0,2771.0,176.0,70.0,41.0,2805.0,2967.0,364.0,88.0,121.0
"Abasov, Nijat",Azerbaijan,2321.0,2609.0,9.0,0.0,5.0,2937.0,3024.0,289.0,77.0,156.0
"Mikhalevski, Victor",Israel,2298.0,2720.0,16.0,2.0,4.0,2720.0,2827.0,349.0,42.0,215.0
"Melkumyan, Hrant",Armenia,2562.0,2947.0,41.0,13.0,26.0,2910.0,3085.0,3487.0,813.0,2331.0
"Baskaran, Adhiban",India,2691.0,2863.0,21.0,12.0,14.0,3004.0,3032.0,546.0,160.0,461.0
"Lenic, Luka",Slovenia,2705.0,2796.0,6.0,2.0,1.0,2735.0,2735.0,106.0,13.0,41.0
"Kamsky, Gata",United States,2686.0,2693.0,238.0,142.0,70.0,3010.0,3034.0,3450.0,1117.0,1191.0
"Saric, Ivan",Croatia,2712.0,2870.0,31.0,21.0,17.0,2820.0,3016.0,1992.0,656.0,1527.0
"Sadorra, Julio",Philippines,2662.0,2662.0,3.0,1.0,1.0,2714.0,2774.0,886.0,46.0,838.0
"Kampen, Robin van",United States,2660.0,2660.0,3.0,0.0,0.0,2794.0,2960.0,2250.0,488.0,1705.0
"Socko, Bartosz",Poland,,,,,,2795.0,2859.0,293.0,50.0,121.0
"Shevchenko, Kirill",Romania,2631.0,2810.0,48.0,21.0,14.0,2990.0,3038.0,1227.0,285.0,717.0
"Movsesian, Sergei",Armenia,2658.0,2929.0,14.0,6.0,5.0,2848.0,2984.0,694.0,155.0,380.0
"Demchenko, Anton",Russia,2465.0,2835.0,156.0,44.0,124.0,2908.0,3030.0,4059.0,869.0,3001.0
"Bologan, Victor",Moldova,2542.0,2581.0,12.0,5.0,8.0,2728.0,2932.0,2843.0,455.0,2666.0
"Meier, Georg",Uruguay,2676.0,2924.0,64.0,40.0,31.0,2916.0,3059.0,3592.0,1061.0,1972.0
"Iturrizaga, Eduardo",Spain,2725.0,2772.0,65.0,38.0,21.0,2884.0,2990.0,563.0,85.0,310.0
"Shirov, Alexei",Spain,2540.0,2909.0,12.0,2.0,4.0,2760.0,2899.0,296.0,56.0,112.0
"Stripunsky, Alex",United States,,,,,,,,,,
"Svane, Rasmus",Germany,2588.0,2632.0,495.0,58.0,103.0,2962.0,3058.0,3254.0,644.0,1309.0
"Tiviakov, Sergey",Netherlands,,,,,,,,,,
"Benjamin, Joel",United States,2364.0,2650.0,2.0,1.0,1.0,2715.0,2818.0,7.0,1.0,4.0
,United States,2257.0,2602.0,1.0,0.0,0.0,2421.0,2597.0,21.0,5.0,16.0
"Malakhov, Vladimir",Russia,2556.0,2785.0,49.0,15.0,15.0,,,,,
"Agdestein, Simen",Norway,2487.0,2857.0,16.0,4.0,9.0,2455.0,2643.0,468.0,32.0,358.0
"Kritz, Leonid",United States,2234.0,2234.0,3.0,0.0,0.0,2430.0,2612.0,13.0,8.0,9.0
"Matsenko, Sergei",United States,2500.0,2500.0,1.0,0.0,0.0,2822.0,2871.0,3516.0,696.0,2210.0
"Chess-Pacman, ",Philippines,2342.0,2497.0,3.0,1.0,0.0,2552.0,2552.0,269.0,17.0,220.0
"Tari, Aryan",Norway,2510.0,2686.0,37.0,27.0,35.0,2909.0,3005.0,3370.0,582.0,2197.0
,United States,,,,,,,,,,
"Akopian, Vladimir",United States,,,,,,2825.0,3210.0,261.0,27.0,112.0
"S.P, Sethuraman",India,2534.0,2673.0,10.0,13.0,8.0,2803.0,2950.0,1897.0,333.0,1236.0
"Moradiabadi, Elshan",United States,2706.0,2832.0,29.0,17.0,8.0,2784.0,2924.0,1567.0,382.0,923.0
