#,name,Classic,Rapid,Blitz,Age,Wins,Draws,Losses,Unnamed: 0,username,title,fide,country,current_rapid_rating,highest_rapid_rating,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,bullet_win,bullet_draw,bullet_loss
16,"Mamedyarov, Shakhriyar",2737.6,2711.0,2722.0,38,2034 (41.27 %),727 (37.32 %),1055 (21.41 %),17.0,mamedyarov_twitch,GM,2770.0,Azerbaijan,,,,,,2990.0,3012.0,204.0,25.0,65.0,3054.0,3084.0,105.0,14.0,66.0
16,"Mamedyarov, Shakhriyar",2737.6,2711.0,2722.0,38,2034 (41.27 %),727 (37.32 %),1055 (21.41 %),824.0,azerichessss,GM,0.0,United States,,,,,,2814.0,2814.0,1.0,0.0,0.0,2255.0,2162.0,3.0,0.0,1.0
16,"Mamedyarov, Shakhriyar",2737.6,2711.0,2722.0,38,2034 (41.27 %),727 (37.32 %),1055 (21.41 %),904.0,mammadyarov,GM,0.0,Azerbaijan,,,,,,2693.0,2693.0,129.0,7.0,12.0,1079.0,929.0,1.0,0.0,0.0
16,"Mamedyarov, Shakhriyar",2737.6,2711.0,2722.0,38,2034 (41.27 %),727 (37.32 %),1055 (21.41 %),963.0,azerichess,GM,,Azerbaijan,2738.0,2820.0,52.0,22.0,19.0,3061.0,3076.0,761.0,219.0,486.0,2973.0,3212.0,831.0,140.0,667.0
17,"Le, Quang Liem",2733.2,2652.8,2665.0,32,,,,,,,,,,,,,,,,,,,,,,,
18,"Grischuk, Alexander",2731.8,2710.8,2686.6,39,2066 (39.41 %),805 (41.68 %),991 (18.9 %),12.0,grischuk,GM,2780.0,Russia,2679.0,2837.0,94.0,111.0,61.0,3029.0,3146.0,953.0,427.0,487.0,3082.0,3310.0,677.0,216.0,470.0
19,"Duda, Jan-Krzysztof",2730.0,2762.0,2751.0,25,1440 (47.06 %),0 (29.84 %),707 (23.1 %),27.0,polish_fighter3000,GM,2731.0,Poland,2755.0,2997.0,31.0,8.0,11.0,3003.0,3143.0,1868.0,362.0,1006.0,3035.0,3248.0,3551.0,364.0,2439.0
20,"Vachier-Lagrave, Maxime",2727.4,2760.0,2722.0,32,1993 (41.44 %),None (40.69 %),859 (17.86 %),14.0,lyonbeast,GM,2780.0,France,2754.0,2863.0,41.0,27.0,18.0,3127.0,3143.0,1415.0,373.0,508.0,3011.0,3224.0,999.0,148.0,477.0
21,"Topalov, Veselin",2727.0,2632.0,2657 i,48,1002 (33.71 %),None (42.8 %),698 (23.49 %),1470.0,veselintopalov359,GM,,Bulgaria,2582.0,2762.0,1.0,10.0,6.0,,,,,,,,,,
22,"Wei, Yi",2725.6,2733.8,2661.0,24,704 (39.33 %),None (41.62 %),341 (19.05 %),,,,,,,,,,,,,,,,,,,,
23,"Yu, Yangyi",2719.8,2699.2,2745.0,29,1016 (42.05 %),382 (42.14 %),382 (15.81 %),,,,,,,,,,,,,,,,,,,,
24,"Vitiugov, Nikita",2718.6,2617 i,2673 i,36,898 (39.27 %),None (45.65 %),345 (15.09 %),1044.0,colchonero64,GM,,Uruguay,2478.0,2700.0,2.0,2.0,6.0,2845.0,3080.0,110.0,31.0,53.0,2850.0,2260.0,5.0,0.0,0.0
25,"Vidit, Santosh Gujrathi",2718.0,2670.8,2624.5,28,1161 (43.61 %),None (36.33 %),534 (20.06 %),,,,,,,,,,,,,,,,,,,,
26,"Abdusattorov, Nodirbek",2716.2,2724.0,2708.0,18,1278 (50.08 %),176 (25.47 %),624 (24.45 %),1036.0,chesswarrior7197,GM,,Uzbekistan,2817.0,2840.0,159.0,79.0,126.0,2989.0,3042.0,1774.0,417.0,1128.0,2978.0,3039.0,902.0,130.0,719.0
27,Praggnanandhaa R,2714.6,2645.0,2623.0,17,608 (28.64 %),None (24.45 %),996 (46.91 %),,,,,,,,,,,,,,,,,,,,
28,"Keymer, Vincent",2713.5,2636.0,2645.0,18,1088 (50.07 %),240 (23.06 %),584 (26.88 %),1474.0,vincentkeymer,GM,,Germany,2671.0,2765.0,62.0,31.0,33.0,3001.0,3025.0,2308.0,730.0,2104.0,3019.0,3085.0,1388.0,223.0,1589.0
29,"Vallejo Pons, Francisco",2712.2,2651.2,2589.0,40,1229 (39.92 %),None (38.75 %),657 (21.34 %),,,,,,,,,,,,,,,,,,,,
30,"Harikrishna, Pentala",2711.0,2630.0,2634.0,37,7 (25.0 %),4 (60.71 %),4 (14.29 %),,,,,,,,,,,,,,,,,,,,
31,"Dubov, Daniil",2709.6,2723.0,2778.0,27,1710 (47.9 %),505 (31.9 %),721 (20.2 %),154.0,duhless,GM,2627.0,Russia,2681.0,2940.0,93.0,100.0,55.0,3088.0,3144.0,4818.0,1133.0,2529.0,3120.0,3136.0,2145.0,270.0,1589.0
32,"Maghsoodloo, Parham",2707.0,2683.0,2660.0,22,1545 (52.59 %),None (24.13 %),684 (23.28 %),32.0,parhamov,GM,2728.0,Iran,2645.0,2714.0,93.0,76.0,81.0,2984.0,3191.0,2693.0,613.0,2088.0,3004.0,3140.0,2899.0,407.0,3088.0
33,"Sjugirov, Sanan",2705.0,2571.0,2569.0,30,2097 (50.05 %),None (26.35 %),989 (23.6 %),88.0,sanan_sjugirov,GM,2675.0,Russia,2624.0,2894.0,65.0,40.0,57.0,2949.0,3011.0,4934.0,1106.0,2837.0,2856.0,2997.0,1624.0,185.0,1100.0
34,Erigaisi Arjun,2704.8,2679.2,2737.0,19,767 (32.31 %),164 (24.77 %),1019 (42.92 %),,,,,,,,,,,,,,,,,,,,
35,"Deac, Bogdan-Daniel",2702.4,2612.6,2641.0,21,,,,,,,,,,,,,,,,,,,,,,,
36,"Robson, Ray",2701.4,2596.0,2665.0,28,630 (42.42 %),None (32.39 %),374 (25.19 %),1377.0,rayrobson,GM,,United States,2682.0,2796.0,1.0,0.0,0.0,2828.0,2899.0,414.0,59.0,241.0,2903.0,2859.0,166.0,24.0,137.0
36,"Robson, Ray",2701.4,2596.0,2665.0,28,630 (42.42 %),None (32.39 %),374 (25.19 %),1419.0,spicycaterpillar,GM,,United States,2616.0,2732.0,84.0,29.0,58.0,3113.0,3113.0,1988.0,376.0,1224.0,3167.0,3265.0,2616.0,306.0,2187.0
37,"Wang, Hao",2700.0,2714.0,2624.0,34,890 (38.75 %),801 (41.84 %),446 (19.42 %),,,,,,,,,,,,,,,,,,,,
38,"Van Foreest, Jorden",2699.2,2656.2,2664.0,24,1312 (45.59 %),295 (28.49 %),746 (25.92 %),,,,,,,,,,,,,,,,,,,,
39,"Artemiev, Vladislav",2698.0,2726.0,2799.0,25,,,,776.0,vartemiev,GM,0.0,Russia,,,,,,2722.0,2808.0,689.0,100.0,350.0,2966.0,2953.0,2844.0,180.0,1373.0
39,"Artemiev, Vladislav",2698.0,2726.0,2799.0,25,,,,1408.0,sibelephant,GM,,Russia,2840.0,2905.0,29.0,16.0,6.0,3128.0,3239.0,754.0,219.0,210.0,3202.0,3285.0,114.0,58.0,61.0
40,"Sevian, Samuel",2698.0,2581.0,2695.0,22,1044 (46.92 %),None (31.33 %),484 (21.75 %),594.0,sevian-bos,GM,2486.0,United States,,,,,,1333.0,1333.0,1.0,0.0,0.0,1636.0,1486.0,2.0,0.0,0.0
