Name,Country,Current_rapid_rating,Highest_rapid_rating,Rapid_win,Rapid_draw,Rapid_loss,Current_blitz_rating,Highest_blitz_rating,Blitz_win,Blitz_draw,Blitz_loss,Wins_online,Draws_online,Losses_online
"Deac, Bogdan Daniel",Romania,2608.0,2919.0,64.0,52.0,44.0,3011.0,3105.0,5065.0,1449.0,3002.0,53.01,15.51,31.48
"Amin, Bassem",Egypt,2510.0,2964.0,14.0,8.0,12.0,2819.0,2876.0,519.0,85.0,358.0,53.51,9.34,37.15
"Fressinet, Laurent",France,2651.0,2741.0,15.0,13.0,12.0,2886.0,2972.0,254.0,80.0,134.0,52.95,18.31,28.74
"Adams, Michael",England,2556.0,2729.0,23.0,17.0,8.0,2790.0,2897.0,116.0,8.0,22.0,71.65,12.89,15.46
,Tonga,1465.0,,0.0,0.0,21.0,2776.0,2962.0,25496.0,3908.0,12108.0,61.39,9.41,29.2
"Yue, Wang",China,,,,,,2459.0,2731.0,30.0,10.0,22.0,,,
"Khalifman, Alex",Russia,,,,,,,,,,,,,
"Wely, Loek van",Netherlands,2454.0,2770.0,15.0,7.0,6.0,2858.0,2888.0,152.0,34.0,90.0,54.93,13.49,31.58
"Erenburg, Sergey",United States,2569.0,2810.0,1.0,0.0,0.0,,,,,,,,
"Gelashvili, Tamaz",United States,,,,,,,,,,,,,
"Shimanov, Aleksandr",United States,2527.0,2801.0,3.0,2.0,3.0,3014.0,3023.0,3935.0,780.0,2759.0,52.63,10.45,36.92
"Sargissian, Gabriel",Armenia,2468.0,2920.0,15.0,11.0,8.0,2914.0,2914.0,397.0,147.0,277.0,48.19,18.48,33.33
"Predojevic, Borki",Bosnia-Herzegovina,2564.0,2630.0,11.0,1.0,2.0,2917.0,2917.0,380.0,78.0,165.0,61.38,12.4,26.22
"Kacheishvili, Giorgi",United States,2697.0,,0.0,0.0,1.0,,,,,,,,
"Zhigalko, Sergei",International,,,,,,2882.0,3031.0,2965.0,547.0,1350.0,,,
"Vorontsov, Pavel",United States,2302.0,2465.0,4.0,3.0,4.0,2633.0,2855.0,311.0,68.0,232.0,50.64,11.41,37.94
"Illingworth, Max",Australia,2612.0,2877.0,11.0,6.0,5.0,2875.0,2956.0,1827.0,217.0,777.0,64.65,7.84,27.51
"Polgar, Judit",Hungary,,,,,,2718.0,2772.0,10.0,2.0,4.0,,,
"Oleksiyenko, Mykhaylo",Ukraine,2223.0,2300.0,26.0,1.0,1.0,2667.0,2795.0,445.0,75.0,244.0,59.47,9.6,30.93
"Howell, David",England,2735.0,2906.0,30.0,9.0,5.0,3019.0,3046.0,3283.0,528.0,1009.0,68.11,11.04,20.85
"Mamedov, Rauf",Azerbaijan,2673.0,2970.0,9.0,1.0,3.0,3198.0,3198.0,1656.0,340.0,948.0,56.31,11.53,32.16
"Oparin, Grigoriy",United States,2640.0,2681.0,181.0,138.0,96.0,2977.0,3046.0,3866.0,953.0,1696.0,58.4,15.74,25.86
"Quesada, Yuniesky",United States,2686.0,2781.0,1.0,0.0,0.0,,,,,,,,
"Cheparinov, Ivan",Bulgaria,2651.0,2749.0,6.0,4.0,4.0,2760.0,2806.0,53.0,11.0,23.0,58.42,14.85,26.73
"Cheparinov, Ivan",Bulgaria,2496.0,2668.0,2.0,2.0,1.0,2904.0,2908.0,117.0,41.0,50.0,55.87,20.19,23.94
"Sarana, Aleksei",Serbia,2675.0,2977.0,176.0,104.0,88.0,3056.0,3135.0,10345.0,1795.0,5850.0,57.31,10.34,32.35
"Steingrimsson, Hedinn",Iceland,,,,,,2604.0,2678.0,76.0,13.0,43.0,,,
"Jakovenko, Dmitry",Russia,2612.0,2938.0,30.0,2.0,4.0,2256.0,2648.0,25.0,4.0,7.0,76.39,8.33,15.28
"Svidler, Peter",Russia,2654.0,2800.0,22.0,17.0,13.0,2963.0,3079.0,328.0,103.0,101.0,59.93,20.55,19.52
"Foreest, Jorden van",Netherlands,2688.0,2700.0,47.0,31.0,52.0,2961.0,3078.0,4991.0,989.0,4063.0,49.52,10.03,40.45
"Safarli, Eltaj",Azerbaijan,,,,,,2855.0,2866.0,65.0,20.0,18.0,,,
"Shulman, Yury",United States,,,,,,2337.0,2524.0,3.0,6.0,16.0,,,
"Nyzhnyk, Illia",United States,2590.0,2782.0,25.0,9.0,7.0,2874.0,2991.0,815.0,103.0,178.0,73.88,9.85,16.27
"Ivanchuk, Vasyl",Ukraine,2529.0,2704.0,12.0,17.0,16.0,2911.0,3015.0,67.0,11.0,25.0,53.38,18.92,27.7
"Jones, Gawain",United Kingdom,2552.0,2763.0,29.0,19.0,17.0,2918.0,2957.0,1221.0,291.0,569.0,58.25,14.45,27.31
"McShane, Luke",England,2575.0,2736.0,6.0,5.0,3.0,2746.0,2755.0,40.0,2.0,9.0,70.77,10.77,18.46
"Navara, David",Czech Republic,2683.0,2943.0,79.0,26.0,20.0,2861.0,3009.0,623.0,130.0,299.0,59.64,13.25,27.1
"Tabatabaei, Amin",Iran,2740.0,2752.0,109.0,89.0,62.0,3037.0,3061.0,4083.0,981.0,3986.0,45.03,11.49,43.48
"Anonymous, Dean",International,2683.0,2859.0,83.0,19.0,10.0,2954.0,3002.0,558.0,195.0,288.0,55.59,18.56,25.85
"Short, Nigel",United Kingdom,,,,,,2585.0,2630.0,51.0,5.0,19.0,,,
"Sjugirov, Sanan",Russia,2624.0,2894.0,65.0,40.0,57.0,2949.0,3011.0,4934.0,1106.0,2837.0,55.3,12.68,32.02
"Narayanan, S.L.",India,2554.0,2684.0,22.0,26.0,21.0,3043.0,3055.0,6522.0,1516.0,4504.0,51.89,12.23,35.88
"Shankland, Sam",United States,2673.0,2807.0,1.0,0.0,0.0,,,,,,,,
"Negi, Parimarjan",India,1962.0,2656.0,1.0,2.0,0.0,2532.0,2582.0,34.0,9.0,23.0,50.72,15.94,33.33
"Rakhmanov, Aleksandr",International,2615.0,2615.0,60.0,21.0,38.0,2853.0,2916.0,907.0,184.0,395.0,60.25,12.77,26.98
"Donchenko, Alexander",Germany,2624.0,2789.0,66.0,15.0,29.0,2862.0,2928.0,2186.0,415.0,1120.0,58.78,11.22,29.99
"Guseinov, Gadir",Azerbaijan,2533.0,2771.0,176.0,70.0,41.0,2805.0,2967.0,364.0,88.0,121.0,62.79,18.37,18.84
"Abasov, Nijat",Azerbaijan,2321.0,2609.0,9.0,0.0,5.0,2937.0,3024.0,289.0,77.0,156.0,55.6,14.37,30.04
"Mikhalevski, Victor",Israel,2298.0,2720.0,16.0,2.0,4.0,2720.0,2827.0,349.0,42.0,215.0,58.12,7.01,34.87
"Melkumyan, Hrant",Armenia,2562.0,2947.0,41.0,13.0,26.0,2910.0,3085.0,3487.0,813.0,2331.0,52.57,12.31,35.12
"Baskaran, Adhiban",India,2691.0,2863.0,21.0,12.0,14.0,3004.0,3032.0,546.0,160.0,461.0,46.71,14.17,39.13
"Lenic, Luka",Slovenia,2705.0,2796.0,6.0,2.0,1.0,2735.0,2735.0,106.0,13.0,41.0,66.27,8.88,24.85
"Kamsky, Gata",United States,2686.0,2693.0,238.0,142.0,70.0,3010.0,3034.0,3450.0,1117.0,1191.0,59.41,20.28,20.31
"Saric, Ivan",Croatia,2712.0,2870.0,31.0,21.0,17.0,2820.0,3016.0,1992.0,656.0,1527.0,47.67,15.95,36.38
"Sadorra, Julio",Philippines,2662.0,2662.0,3.0,1.0,1.0,2714.0,2774.0,886.0,46.0,838.0,50.08,2.65,47.27
"Kampen, Robin van",United States,2660.0,2660.0,3.0,0.0,0.0,2794.0,2960.0,2250.0,488.0,1705.0,50.67,10.98,38.35
"Socko, Bartosz",Poland,,,,,,2795.0,2859.0,293.0,50.0,121.0,,,
"Shevchenko, Kirill",Romania,2631.0,2810.0,48.0,21.0,14.0,2990.0,3038.0,1227.0,285.0,717.0,55.15,13.24,31.62
"Movsesian, Sergei",Armenia,2658.0,2929.0,14.0,6.0,5.0,2848.0,2984.0,694.0,155.0,380.0,56.46,12.84,30.7
"Demchenko, Anton",Russia,2465.0,2835.0,156.0,44.0,124.0,2908.0,3030.0,4059.0,869.0,3001.0,51.07,11.06,37.87
"Bologan, Victor",Moldova,2542.0,2581.0,12.0,5.0,8.0,2728.0,2932.0,2843.0,455.0,2666.0,47.67,7.68,44.65
"Meier, Georg",Uruguay,2676.0,2924.0,64.0,40.0,31.0,2916.0,3059.0,3592.0,1061.0,1972.0,54.08,16.29,29.63
"Iturrizaga, Eduardo",Spain,2725.0,2772.0,65.0,38.0,21.0,2884.0,2990.0,563.0,85.0,310.0,58.04,11.37,30.59
"Shirov, Alexei",Spain,2540.0,2909.0,12.0,2.0,4.0,2760.0,2899.0,296.0,56.0,112.0,63.9,12.03,24.07
"Stripunsky, Alex",United States,,,,,,,,,,,,,
"Svane, Rasmus",Germany,2588.0,2632.0,495.0,58.0,103.0,2962.0,3058.0,3254.0,644.0,1309.0,63.94,11.97,24.08
"Tiviakov, Sergey",Netherlands,,,,,,,,,,,,,
"Benjamin, Joel",United States,2364.0,2650.0,2.0,1.0,1.0,2715.0,2818.0,7.0,1.0,4.0,56.25,12.5,31.25
,United States,2257.0,2602.0,1.0,0.0,0.0,2421.0,2597.0,21.0,5.0,16.0,51.16,11.63,37.21
"Malakhov, Vladimir",Russia,2556.0,2785.0,49.0,15.0,15.0,,,,,,,,
"Agdestein, Simen",Norway,2487.0,2857.0,16.0,4.0,9.0,2455.0,2643.0,468.0,32.0,358.0,54.57,4.06,41.38
"Kritz, Leonid",United States,2234.0,2234.0,3.0,0.0,0.0,2430.0,2612.0,13.0,8.0,9.0,48.48,24.24,27.27
"Matsenko, Sergei",United States,2500.0,2500.0,1.0,0.0,0.0,2822.0,2871.0,3516.0,696.0,2210.0,54.76,10.84,34.41
"Chess-Pacman, ",Philippines,2342.0,2497.0,3.0,1.0,0.0,2552.0,2552.0,269.0,17.0,220.0,53.33,3.53,43.14
"Tari, Aryan",Norway,2510.0,2686.0,37.0,27.0,35.0,2909.0,3005.0,3370.0,582.0,2197.0,54.53,9.75,35.72
,United States,,,,,,,,,,,,,
"Akopian, Vladimir",United States,,,,,,2825.0,3210.0,261.0,27.0,112.0,,,
"S.P, Sethuraman",India,2534.0,2673.0,10.0,13.0,8.0,2803.0,2950.0,1897.0,333.0,1236.0,54.53,9.89,35.57
"Moradiabadi, Elshan",United States,2706.0,2832.0,29.0,17.0,8.0,2784.0,2924.0,1567.0,382.0,923.0,54.55,13.64,31.82
"Krishnan, Sasikiran",India,2490.0,2829.0,30.0,21.0,26.0,2944.0,2958.0,2078.0,559.0,1818.0,46.51,12.8,40.69
"Mista, Aleksander",United States,2374.0,2374.0,7.0,1.0,0.0,2628.0,2714.0,1051.0,190.0,673.0,55.05,9.94,35.02
"Gajewski, Grzegorz",Poland,2443.0,2756.0,8.0,1.0,9.0,2788.0,2892.0,3524.0,547.0,2499.0,53.61,8.32,38.07
"Kaidanov, Gregory",United States,2526.0,2595.0,5.0,2.0,5.0,2669.0,2741.0,74.0,8.0,54.0,53.38,6.76,39.86
"Romanov, Evgeny",Norway,2265.0,2619.0,6.0,3.0,6.0,2741.0,2753.0,118.0,18.0,70.0,56.11,9.5,34.39
"Chigaev, Maksim",International,2602.0,2770.0,63.0,36.0,38.0,2947.0,3036.0,2185.0,455.0,1115.0,57.76,12.62,29.62
"Adly, Ahmed",Egypt,2720.0,2720.0,10.0,2.0,3.0,2908.0,2968.0,508.0,65.0,269.0,60.44,7.82,31.74
"Kuzubov, Yuriy",Ukraine,2495.0,2607.0,54.0,18.0,17.0,2924.0,2966.0,1245.0,268.0,851.0,52.96,11.66,35.39
"Ivanisevic, Ivan",Serbia,2386.0,2556.0,12.0,4.0,13.0,2727.0,2824.0,928.0,113.0,514.0,59.34,7.39,33.27
"Jimenez, Fidel Corrales",United States,2158.0,2539.0,7.0,5.0,5.0,2866.0,2972.0,7947.0,1306.0,7591.0,47.17,7.78,45.05
"Benjamin, Joel",United States,,,,,,,,,,,,,
"Vovk, Andriy",Ukraine,2639.0,2639.0,11.0,0.0,0.0,2393.0,2608.0,104.0,19.0,70.0,56.37,9.31,34.31
"AZMAIPARASHVILI, ZURAB",Georgia,1926.0,2454.0,3.0,4.0,7.0,2704.0,2989.0,94.0,18.0,61.0,51.87,11.76,36.36
"Hess, Robert",United States,,,,,,,,,,,,,
"Martirosyan, Haik",Armenia,2603.0,2698.0,47.0,20.0,24.0,2973.0,3117.0,2302.0,394.0,1271.0,57.89,10.2,31.91
"Bok, Benjamin",Netherlands,2598.0,2715.0,409.0,85.0,75.0,2972.0,3045.0,4027.0,853.0,1652.0,62.47,13.21,24.32
"Mareco, Sandro",Argentina,2535.0,2832.0,25.0,12.0,11.0,2863.0,2923.0,743.0,164.0,560.0,50.69,11.62,37.69
"Subramanian, Arunprasad",United States,2123.0,2123.0,4.0,1.0,3.0,2785.0,2789.0,138.0,12.0,49.0,68.6,6.28,25.12
"Onischuk, Vladimir",Ukraine,2546.0,2719.0,9.0,9.0,5.0,2879.0,2961.0,412.0,71.0,148.0,64.37,12.23,23.39
"Fridman, Daniel",Germany,2624.0,3008.0,19.0,14.0,7.0,2838.0,2957.0,167.0,21.0,92.0,58.13,10.94,30.94
"Granda, Julio",Peru,1406.0,,0.0,0.0,2.0,2339.0,2356.0,302.0,6.0,30.0,88.82,1.76,9.41
"Quesada, Yuniesky",United States,2669.0,2815.0,67.0,4.0,1.0,2879.0,2965.0,6360.0,1411.0,4921.0,50.35,11.09,38.56
"Yilmaz, Mustafa",Turkey,2559.0,2777.0,23.0,5.0,24.0,2836.0,3010.0,2852.0,454.0,1806.0,55.67,8.89,35.44
"Bernadskiy, Vitaliy",Ukraine,2594.0,2626.0,41.0,24.0,30.0,2860.0,2946.0,4819.0,935.0,3441.0,52.31,10.32,37.36
"Gupta, Abhijeet",India,,,,,,2854.0,3011.0,2133.0,501.0,2198.0,,,
"Huschenbeth, Niclas",Germany,2335.0,2610.0,6.0,1.0,9.0,2660.0,2660.0,84.0,15.0,81.0,45.92,8.16,45.92
"Kannappan, Priyadharshan",India,2471.0,2623.0,8.0,1.0,0.0,2687.0,2807.0,1651.0,367.0,1206.0,51.31,11.38,37.3
"Dubov, Daniil",Russia,2681.0,2940.0,93.0,100.0,55.0,3088.0,3144.0,4818.0,1133.0,2529.0,56.27,14.13,29.61
"l'Ami, Erwin",Netherlands,,,,,,2941.0,2969.0,613.0,102.0,192.0,,,
"Solak, Dragan",Turkey,2512.0,2679.0,10.0,8.0,3.0,2515.0,2941.0,1430.0,435.0,1025.0,49.47,15.22,35.31
"Sokolov, Ivan",Netherlands,2092.0,2092.0,6.0,2.0,3.0,2576.0,2763.0,483.0,73.0,298.0,56.53,8.67,34.8
"Bykhovsky, Anatoly",United States,2625.0,2780.0,1.0,0.0,0.0,1200.0,,0.0,1.0,0.0,50.0,50.0,0.0
"Izoria, Zviad",United States,,,,,,,,,,,,,
"Ter-Sahakyan, Samvel",Armenia,2610.0,2635.0,133.0,49.0,44.0,2847.0,2975.0,1315.0,441.0,889.0,50.44,17.07,32.5
"Ivanov, Alexander",United States,,,,,,,,,,,,,
"Dlugy, Maxim",United States,2518.0,2247.0,7.0,1.0,0.0,2681.0,2702.0,1294.0,140.0,380.0,71.41,7.74,20.86
"Lysyj, Igor",Russia,2595.0,2661.0,19.0,24.0,10.0,2754.0,2878.0,268.0,67.0,117.0,56.83,18.02,25.15
"Feller, Sebastien",France,2139.0,2139.0,3.0,0.0,0.0,2482.0,2482.0,64.0,10.0,35.0,59.82,8.93,31.25
"Grigoryan, Karen",United States,2149.0,2820.0,97.0,2.0,5.0,2953.0,2953.0,468.0,18.0,43.0,89.26,3.16,7.58
"Yakubboev, Nodirbek",Uzbekistan,2562.0,2826.0,23.0,10.0,10.0,3001.0,3001.0,245.0,48.0,126.0,58.01,12.55,29.44
,United States,,,,,,2715.0,2716.0,105.0,8.0,32.0,,,
"Alcantara, Jose Eduardo Martinez",Mexico,2700.0,2744.0,337.0,137.0,107.0,3025.0,3121.0,12799.0,2335.0,6154.0,60.07,11.3,28.63
"Smeets, Jan",Netherlands,2587.0,2717.0,5.0,4.0,3.0,2706.0,2763.0,326.0,38.0,260.0,52.04,6.6,41.35
"Sarin, Nihal",Chile,2751.0,2790.0,146.0,51.0,63.0,3058.0,3277.0,11807.0,2187.0,6781.0,56.82,10.64,32.54
"Salgado, Ivan",Spain,2458.0,2536.0,7.0,5.0,13.0,2783.0,2965.0,435.0,94.0,337.0,49.61,11.11,39.28
"Хайруллин, Ильдар",Russia,,,,,,2858.0,2858.0,4.0,0.0,0.0,,,
"Svane, Frederik",Germany,2451.0,2545.0,222.0,22.0,37.0,2949.0,3010.0,3142.0,668.0,1885.0,56.29,11.55,32.16
"Gustafsson, Jan",Germany,2500.0,2500.0,2.0,0.0,0.0,2659.0,2678.0,9.0,1.0,1.0,84.62,7.69,7.69
"Christiansen, Johan-Sebastian",Cayman Islands,2530.0,2805.0,11.0,2.0,10.0,2802.0,2902.0,1092.0,187.0,800.0,52.47,8.99,38.53
"Goldin, Alex",United States,2520.0,2576.0,48.0,10.0,31.0,2586.0,2766.0,6525.0,813.0,5720.0,50.0,6.26,43.74
"Gorovets, Andrey",United States,941.0,2763.0,553.0,1150.0,76.0,2836.0,2928.0,9023.0,2438.0,7404.0,46.39,17.38,36.23
"Shankland, Sam",United States,2561.0,2777.0,18.0,10.0,8.0,2872.0,3016.0,756.0,212.0,423.0,54.24,15.56,30.2
"Becerra, Julio",United States,2616.0,2705.0,1.0,0.0,0.0,,,,,,,,
"Антипов, Михаил",Russia,,,,,,2773.0,2864.0,53.0,3.0,35.0,,,
"Neiksans, Arturs",Latvia,2484.0,2742.0,17.0,5.0,5.0,2802.0,2948.0,2352.0,509.0,1443.0,54.7,11.87,33.43
"ILLESCAS, MIGUEL",Spain,,,,,,2684.0,2799.0,265.0,49.0,181.0,,,
"Gupta, Abhijeet",India,2459.0,2600.0,10.0,5.0,10.0,2981.0,2991.0,920.0,202.0,863.0,46.27,10.3,43.43
"Focused, Stay",Russia,,,,,,2200.0,3018.0,28.0,5.0,1.0,,,
"Galkin, Alexander",Russia,,,,,,2930.0,2930.0,769.0,237.0,525.0,,,
"Popov, Ivan",Russia,,,,,,2801.0,2938.0,524.0,128.0,283.0,,,
"Shoker, Samy",Egypt,2409.0,2419.0,5.0,4.0,3.0,2709.0,2919.0,6455.0,1484.0,6086.0,46.02,10.6,43.38
"Hansen, Eric",Canada,2530.0,2805.0,58.0,25.0,43.0,2852.0,3042.0,6960.0,765.0,3443.0,62.14,6.99,30.87
"Sadhwani, Raunak",India,2717.0,2718.0,67.0,39.0,29.0,2991.0,3105.0,1459.0,417.0,826.0,53.79,16.07,30.14
"Sadhwani, Raunak",India,2664.0,2784.0,74.0,48.0,47.0,2974.0,3056.0,3989.0,1324.0,2996.0,47.92,16.18,35.89
"Piorun, Kacper",Poland,2349.0,2800.0,12.0,10.0,23.0,2875.0,2994.0,1598.0,312.0,749.0,59.54,11.91,28.55
"Bartel, Mateusz",Poland,2436.0,2636.0,22.0,20.0,22.0,2810.0,2926.0,2526.0,587.0,1943.0,49.77,11.86,38.38
"Rameshbabu, Praggnanandhaa",India,2664.0,2735.0,68.0,31.0,30.0,2972.0,3018.0,1012.0,197.0,747.0,51.8,10.94,37.27
"Baklan, Vladimir",Ukraine,2665.0,2692.0,71.0,25.0,12.0,2694.0,2799.0,273.0,69.0,111.0,61.32,16.76,21.93
"Yoo, Christopher Woojin",Papua New Guinea,2609.0,2871.0,258.0,76.0,113.0,2994.0,3043.0,5473.0,1023.0,2808.0,58.77,11.27,29.96
"Ziatdinov, Raset",Uzbekistan,2098.0,2361.0,72.0,9.0,29.0,2339.0,2453.0,1200.0,129.0,639.0,61.21,6.64,32.15
"Bortnyk, Oleksandr",United States,2616.0,2939.0,212.0,59.0,92.0,3030.0,3109.0,6035.0,875.0,1909.0,68.04,10.17,21.79
"Miroshnichenko, Evgenij",Micronesia,2482.0,2606.0,6.0,1.0,3.0,2559.0,2737.0,1356.0,193.0,405.0,69.35,9.88,20.77
"Perez, Yasser Quesada",Cuba,2388.0,2450.0,11.0,8.0,12.0,2820.0,2991.0,720.0,121.0,394.0,57.74,10.19,32.07
"Fridman, Daniel",Germany,,,,,,2572.0,2846.0,79.0,21.0,35.0,,,
"Zhou, Weiqi",China,2352.0,,0.0,1.0,1.0,3001.0,3015.0,1369.0,445.0,1246.0,44.71,14.57,40.73
"Martinovic, Sasa",Croatia,,,,,,2835.0,2876.0,445.0,105.0,417.0,,,
"Papp, Gabor",Hungary,2342.0,2582.0,11.0,0.0,6.0,2676.0,2676.0,94.0,14.0,47.0,61.05,8.14,30.81
"Hoyos, Manuel León",Mexico,,,,,,2857.0,2916.0,847.0,172.0,900.0,,,
"Andriasian, Zaven",Armenia,,,,,,2904.0,3017.0,447.0,185.0,203.0,,,
"Supi, Luis Paulo",Brazil,2539.0,2759.0,18.0,7.0,8.0,2931.0,3051.0,5389.0,1174.0,3800.0,52.01,11.36,36.63
"Khachiyan, Melikset",United States,2602.0,,0.0,1.0,0.0,,,,,,,,
"Vokhidov, Shamsiddin",Uzbekistan,2623.0,2696.0,125.0,47.0,68.0,2926.0,3017.0,1872.0,491.0,1283.0,51.39,13.84,34.77
